Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8415_166,0,0.112822,,,,,8415_166,S.8415.17.R1.match.sdr.cov.txt
8415_189,2,0.113017,,,,,8415_189,S.8415.193.R1.match.sdr.cov.txt
8412_090,0,0.11302,,,,,8412_090,S.8412.09.R1.match.sdr.cov.txt
8415_049,0,0.11318,,,,,8415_049,S.8415.053.R1.match.sdr.cov.txt
8412_266,2,0.113256,,,,,8412_266,S.8412.266.R1.match.sdr.cov.txt
8412_008,2,0.113272,,,,,8412_008,S.8412.008.R1.match.sdr.cov.txt
8415_164,2,0.11333,,,,,8415_164,S.8415.168.R1.match.sdr.cov.txt
8412_285,0,0.113875,,,,,8412_285,S.8412.285.R1.match.sdr.cov.txt
8415_087,0,0.11419,,,,,8415_087,S.8415.091.R1.match.sdr.cov.txt
8415_149,0,0.114329,,,,,8415_149,S.8415.153.R1.match.sdr.cov.txt
8415_095,4,0.114415,,,,,8415_095,S.8415.099.R1.match.sdr.cov.txt
8415_137,2,0.115116,,,,,8415_137,S.8415.141.R1.match.sdr.cov.txt
8412_467,0,0.115152,,,,,8412_467,S.8412.471.R1.match.sdr.cov.txt
8415_038,0,0.115332,,,,,8415_038,S.8415.042.R1.match.sdr.cov.txt
8415_009,2,0.115641,,,,,8415_009,S.8415.013.R1.match.sdr.cov.txt
8412_026,0,0.115662,,,,,8412_026,S.8412.026.R1.match.sdr.cov.txt
8415_230,2,0.115836,,,,,8415_23,S.8415.234.R1.match.sdr.cov.txt
8415_131,0,0.115851,,,,,8415_131,S.8415.135.R1.match.sdr.cov.txt
8412_072,0,0.115876,,,,,8412_072,S.8412.072.R1.match.sdr.cov.txt
8415_158,0,0.115885,,,,,8415_158,S.8415.162.R1.match.sdr.cov.txt
8412_465,1,0.116281,,,,,8412_465,S.8412.469.R1.match.sdr.cov.txt
8412_028,2,0.116351,,,,,8412_028,S.8412.028.R1.match.sdr.cov.txt
8412_383,1,0.11637,,,,,8412_383,S.8412.387.R1.match.sdr.cov.txt
8412_317,2,0.116431,,,,,8412_317,S.8412.321.R1.match.sdr.cov.txt
8415_173,2,0.116596,,,,,8415_173,S.8415.177.R1.match.sdr.cov.txt
8415_001,1,0.116761,,,,,8415_001,S.8415.005.R1.match.sdr.cov.txt
8415_308,0,0.116824,,,,,8415_308,S.8415.312.R1.match.sdr.cov.txt
8415_042,0,0.116866,,,,,8415_042,S.8415.046.R1.match.sdr.cov.txt
8412_092,0,0.116961,,,,,8412_092,S.8412.092.R1.match.sdr.cov.txt
8415_253,4,0.117062,,,,,8415_253,S.8415.257.R1.match.sdr.cov.txt
